iter	Logloss
0	0.6774137343
1	0.6631087625
2	0.6522205041
3	0.6408364331
4	0.6302159014
5	0.6215152341
6	0.6125500635
7	0.6041995214
8	0.5963954849
9	0.589548445
10	0.5833304242
11	0.5786946622
12	0.5735976453
13	0.5673800092
14	0.563795069
15	0.5596517753
16	0.5556188285
17	0.5515640101
18	0.5486058013
19	0.5454429422
20	0.5430373629
21	0.5409921366
22	0.5373256221
23	0.5334486242
24	0.5316223013
25	0.5292649819
26	0.5257258703
27	0.5241852526
28	0.5217840765
29	0.5195586302
30	0.5176438035
31	0.5159484184
32	0.5147873473
33	0.5119544415
34	0.5103428703
35	0.5092340685
36	0.508260476
37	0.505893404
38	0.5047272591
39	0.5039286577
40	0.5029320369
41	0.5019237162
42	0.5010101591
43	0.4991360149
44	0.49806302
45	0.4971134617
46	0.4952183297
47	0.4942370278
48	0.4933951912
49	0.4926693359
50	0.4908634149
51	0.4889760667
52	0.4883687286
53	0.4872823522
54	0.4867387909
55	0.4858377708
56	0.4851622252
57	0.4838690978
58	0.4824607848
59	0.4819277098
60	0.4811056501
61	0.4793650245
62	0.4785212638
63	0.4779527387
64	0.4775352374
65	0.4767073452
66	0.476159373
67	0.4756707813
68	0.4751222659
69	0.4745869498
70	0.4739331684
71	0.4734877357
72	0.472530183
73	0.471921752
74	0.4704098483
75	0.4699398652
76	0.4695025094
77	0.4690614316
78	0.4683018213
79	0.4678239783
80	0.467138297
81	0.4665994849
82	0.4662539354
83	0.4659519599
84	0.4655093124
85	0.4650839692
86	0.4641833956
87	0.4636675264
88	0.4632362468
89	0.4630371831
90	0.4627292007
91	0.4623015074
92	0.461898858
93	0.4615079539
94	0.4610994608
95	0.4608084993
96	0.4605510772
97	0.4599718704
98	0.4593786722
99	0.458776361
100	0.4581937089
101	0.4577174767
102	0.4573966499
103	0.4568628419
104	0.4565637129
105	0.4557606022
106	0.4554799637
107	0.4549882694
108	0.4544881449
109	0.4541552426
110	0.4538233982
111	0.4535836889
112	0.4529157566
113	0.4525344975
114	0.4521439621
115	0.4518310476
116	0.4515294046
117	0.4512743266
118	0.4505943156
119	0.4504059465
120	0.4500993032
121	0.4493342757
122	0.4487072175
123	0.4483270797
124	0.4481235916
125	0.4478350521
126	0.4474260817
127	0.4468189589
128	0.4463838558
129	0.4461301638
130	0.44580708
131	0.4454684869
132	0.4452124336
133	0.4449520623
134	0.4447354752
135	0.444309206
136	0.4440973417
137	0.4436851805
138	0.4435061731
139	0.4432657671
140	0.4429626823
141	0.4427492562
142	0.4425009241
143	0.4423221782
144	0.4420914836
145	0.4418562983
146	0.4416108671
147	0.4410568187
148	0.440842874
149	0.4406028845
150	0.440425859
151	0.4402584592
152	0.4400835226
153	0.4398560717
154	0.4395828471
155	0.4392783203
156	0.439059514
157	0.4385189821
158	0.4383021319
159	0.4381383555
160	0.4379569718
161	0.4376937499
162	0.4375031496
163	0.4372645133
164	0.4370959621
165	0.4369495262
166	0.4365516221
167	0.4363077585
168	0.4361646265
169	0.4358516475
170	0.4356108603
171	0.4352688582
172	0.4350681457
173	0.4348519663
174	0.4345541432
175	0.4342745341
176	0.4340168327
177	0.4337691191
178	0.4335317999
179	0.4332334131
180	0.4323491215
181	0.4321930543
182	0.4319376458
183	0.4317231174
184	0.431555648
185	0.431359497
186	0.4311928279
187	0.4309459674
188	0.4307295819
189	0.430412043
190	0.4301725885
191	0.429800385
192	0.4296440945
193	0.4294416729
194	0.4292511694
195	0.4288974361
196	0.4286548698
197	0.4283798283
198	0.4281115765
199	0.427928406
200	0.4277740103
201	0.4275028678
202	0.4273522509
203	0.4271218181
204	0.4268975951
205	0.4267067439
206	0.4265156768
207	0.4262395575
208	0.4260361927
209	0.4258133796
210	0.425610968
211	0.4254378296
212	0.4252011692
213	0.4250587818
214	0.4248430412
215	0.4246060412
216	0.4244872964
217	0.4240813272
218	0.4238213443
219	0.4235879316
220	0.4234440029
221	0.4232884806
222	0.4231532739
223	0.4229716477
224	0.4227694328
225	0.4224570083
226	0.4223364344
227	0.4220546094
228	0.4217768055
229	0.4215947889
230	0.4213991396
231	0.4210634874
232	0.4208511918
233	0.4204237271
234	0.4202106864
235	0.4199253728
236	0.4197075152
237	0.4194332305
238	0.4192272075
239	0.4190753276
240	0.4188123777
241	0.4184814424
242	0.4183119365
243	0.4181282407
244	0.4179312332
245	0.4177330111
246	0.4175230519
247	0.4173430845
248	0.4170923919
249	0.4169402917
250	0.4167256507
251	0.4165287435
252	0.4163301839
253	0.4160986285
254	0.4159707356
255	0.4157909906
256	0.4156168047
257	0.4154077985
258	0.4150789083
259	0.4148603833
260	0.4145970623
261	0.414458484
