iter	Passed	Remaining
0	28	27987
1	43	21804
2	66	22173
3	89	22353
4	112	22319
5	139	23105
6	162	23110
7	182	22667
8	204	22477
9	226	22400
10	249	22476
11	264	21749
12	286	21768
13	307	21637
14	327	21505
15	350	21574
16	371	21464
17	389	21234
18	409	21121
19	428	20984
20	449	20936
21	469	20853
22	488	20763
23	508	20664
24	527	20580
25	548	20551
26	569	20506
27	593	20594
28	615	20606
29	635	20559
30	655	20504
31	676	20456
32	695	20391
33	716	20371
34	739	20377
35	759	20350
36	782	20357
37	802	20326
38	822	20260
39	844	20271
40	864	20219
41	884	20179
42	905	20156
43	924	20096
44	948	20125
45	966	20053
46	987	20021
47	1006	19959
48	1027	19949
49	1047	19907
50	1067	19869
51	1087	19827
52	1109	19824
53	1131	19825
54	1157	19886
55	1177	19844
56	1196	19802
57	1217	19766
58	1237	19744
59	1257	19697
60	1277	19665
61	1297	19633
62	1320	19632
63	1341	19620
64	1361	19588
65	1382	19558
66	1402	19526
67	1425	19531
68	1445	19500
69	1464	19460
70	1483	19416
71	1503	19381
72	1526	19389
73	1547	19363
74	1571	19382
75	1591	19346
76	1610	19300
77	1629	19261
78	1650	19239
79	1670	19210
80	1685	19122
81	1706	19104
82	1727	19087
83	1747	19054
84	1768	19033
85	1786	18983
86	1804	18938
87	1824	18907
88	1844	18879
89	1861	18822
90	1882	18806
91	1900	18756
92	1919	18722
93	1940	18706
94	1961	18682
95	1984	18690
96	2003	18654
97	2023	18626
98	2047	18637
99	2067	18607
100	2087	18583
101	2107	18550
102	2128	18540
103	2148	18510
104	2168	18479
105	2187	18445
106	2207	18421
107	2227	18396
108	2247	18374
109	2267	18347
110	2287	18323
111	2309	18310
112	2332	18307
113	2351	18273
114	2371	18246
115	2389	18210
116	2410	18195
117	2431	18174
118	2450	18140
119	2472	18134
120	2494	18119
121	2513	18086
122	2534	18073
123	2558	18071
124	2583	18087
125	2618	18161
126	2645	18184
127	2670	18191
128	2692	18181
129	2714	18167
130	2734	18138
131	2754	18109
132	2773	18079
133	2791	18039
134	2811	18016
135	2831	17990
136	2852	17970
137	2871	17939
138	2890	17906
139	2912	17888
140	2933	17870
141	2959	17881
142	2979	17856
143	3002	17847
144	3022	17819
145	3042	17797
146	3062	17769
147	3083	17751
148	3103	17725
149	3126	17714
150	3147	17694
151	3169	17680
152	3189	17655
153	3208	17627
154	3228	17600
155	3247	17567
156	3266	17540
157	3285	17507
158	3306	17491
159	3327	17467
160	3349	17454
161	3373	17452
162	3394	17432
163	3416	17417
164	3436	17390
165	3456	17363
166	3473	17324
167	3493	17301
168	3515	17287
169	3535	17263
170	3555	17239
171	3576	17215
172	3596	17191
173	3616	17166
174	3636	17141
175	3656	17120
176	3678	17104
177	3699	17084
178	3721	17070
179	3742	17048
180	3762	17024
181	3782	17001
182	3802	16976
183	3822	16950
184	3843	16932
185	3863	16909
186	3883	16883
187	3903	16859
188	3922	16833
189	3942	16808
190	3961	16779
191	3982	16759
192	4001	16731
193	4020	16701
194	4046	16703
195	4069	16691
196	4093	16683
197	4113	16661
198	4132	16635
199	4154	16616
200	4175	16598
201	4194	16572
202	4213	16543
203	4236	16528
204	4256	16508
205	4279	16493
206	4307	16500
207	4330	16490
208	4358	16494
209	4380	16478
210	4405	16474
211	4430	16469
212	4457	16470
213	4481	16460
214	4508	16459
215	4529	16441
216	4555	16439
217	4580	16431
218	4606	16426
219	4627	16405
220	4654	16405
221	4679	16398
222	4705	16394
223	4729	16382
224	4810	16570
225	4883	16725
226	4922	16761
227	4944	16743
228	4963	16711
229	4982	16681
230	5001	16651
231	5020	16620
232	5040	16592
233	5061	16568
234	5080	16539
235	5100	16513
236	5121	16487
237	5146	16477
238	5167	16453
239	5188	16430
240	5212	16415
241	5235	16400
242	5260	16387
243	5288	16384
244	5313	16375
245	5339	16365
246	5359	16338
247	5378	16308
248	5398	16282
249	5416	16248
250	5435	16220
251	5456	16195
252	5476	16171
253	5495	16139
254	5520	16127
255	5543	16111
256	5562	16080
257	5580	16050
258	5600	16022
259	5622	16002
260	5642	15976
261	5662	15949
262	5682	15924
263	5700	15892
264	5721	15869
265	5742	15845
266	5761	15818
267	5781	15791
268	5800	15763
269	5821	15738
270	5844	15721
271	5867	15704
272	5892	15692
273	5914	15672
274	5939	15657
275	5962	15639
276	5986	15624
277	6009	15606
278	6031	15587
279	6056	15574
280	6084	15569
281	6107	15550
282	6131	15534
283	6151	15508
284	6170	15481
285	6194	15464
286	6214	15438
287	6233	15411
288	6252	15382
289	6273	15359
290	6293	15334
291	6312	15304
292	6331	15277
293	6350	15250
294	6369	15222
295	6390	15199
296	6413	15180
297	6434	15157
298	6455	15134
299	6477	15114
300	6500	15095
301	6524	15079
302	6548	15063
303	6570	15042
304	6592	15021
305	6615	15004
306	6638	14984
307	6663	14971
308	6688	14958
309	6713	14943
310	6732	14915
311	6752	14890
312	6774	14870
313	6798	14853
314	6817	14824
315	6836	14797
316	6855	14771
317	6875	14744
318	6893	14715
319	6913	14691
320	6933	14666
321	6954	14643
322	6974	14617
323	6994	14594
324	7015	14569
325	7036	14548
326	7057	14524
327	7077	14501
328	7098	14477
329	7123	14463
330	7143	14438
331	7163	14413
