iter	Logloss
0	0.6402310435
1	0.5985585937
2	0.5660034231
3	0.5415511068
4	0.5212539927
5	0.5039561818
6	0.490603658
7	0.4793438466
8	0.4709391683
9	0.463520874
10	0.4578588409
11	0.4528533223
12	0.4486778005
13	0.4453403117
14	0.4429004618
15	0.4407627106
16	0.4388968811
17	0.4370998789
18	0.4355981038
19	0.4343249359
20	0.4331070353
21	0.432104482
22	0.4311502584
23	0.4302048136
24	0.4293204803
25	0.4285210826
26	0.4279410807
27	0.4271025035
28	0.4264830526
29	0.4257730204
30	0.4253906911
31	0.4247925313
32	0.4243657125
33	0.4239502411
34	0.4234279124
35	0.4228384399
36	0.4225088654
37	0.422168045
38	0.4219445241
39	0.4214196676
40	0.4211459961
41	0.4208293203
42	0.4203668976
43	0.4201078491
44	0.4197703756
45	0.4192079061
46	0.4190220083
47	0.4188447571
48	0.4183748118
49	0.4181128286
50	0.4179684245
51	0.4175509237
52	0.4172673035
53	0.4170789439
54	0.4166202545
55	0.4163334198
56	0.4160076548
57	0.4158042806
58	0.4155013428
59	0.4151201986
60	0.4148543091
61	0.4145826416
62	0.4142422333
63	0.413970047
64	0.4135750122
65	0.4133291219
66	0.4129867808
67	0.4126721446
68	0.4124173126
69	0.4121293132
70	0.4119726257
71	0.4118095449
72	0.4115151215
73	0.411339386
74	0.4111003113
75	0.4108742218
76	0.4106261546
77	0.4104408518
78	0.4101278687
79	0.4100083822
80	0.4096753489
81	0.4095520223
82	0.4093078664
83	0.409194931
84	0.4089823863
85	0.4087560374
86	0.408473053
87	0.4081837667
88	0.4078859507
89	0.4077054036
90	0.4075035706
91	0.4072066498
92	0.4069004517
93	0.4064839528
94	0.4062980092
95	0.4060736593
96	0.4058616536
97	0.4057098796
98	0.4054619446
99	0.4052649943
