iter	Passed	Remaining
0	12	1238
1	22	1099
2	31	1030
3	41	985
4	51	970
5	59	937
6	69	921
7	79	909
8	89	900
9	99	895
10	108	877
11	118	868
12	127	856
13	137	846
14	147	834
15	155	816
16	167	815
17	177	809
18	187	799
19	197	790
20	206	776
21	215	765
22	226	757
23	235	747
24	244	734
25	254	725
26	264	715
27	272	701
28	280	687
29	288	674
30	297	662
31	305	648
32	313	637
33	321	624
34	330	613
35	337	600
36	347	592
37	356	581
38	364	569
39	373	559
40	381	548
41	390	538
42	400	531
43	409	521
44	418	511
45	430	505
46	440	497
47	448	486
48	462	481
49	470	470
50	479	460
51	488	450
52	496	440
53	505	430
54	515	421
55	524	411
56	532	402
57	541	392
58	550	382
59	559	373
60	569	363
61	579	355
62	589	346
63	599	337
64	610	328
65	620	319
66	630	310
67	642	302
68	654	294
69	667	285
70	679	277
71	690	268
72	701	259
73	712	250
74	724	241
75	734	231
76	744	222
77	756	213
78	765	203
79	777	194
80	788	185
81	798	175
82	810	165
83	821	156
84	831	146
85	844	137
86	861	128
87	881	120
88	900	111
89	915	101
90	929	91
91	945	82
92	959	72
93	975	62
94	989	52
95	1002	41
96	1015	31
97	1027	20
98	1041	10
99	1054	0
